geometryid,geometryacreage,imageid,imagepath,imagedate
29cQ6sj8FngrwD516axwtX,73977,279190,RS2_268037_20190604_UTM15_GS2,2019-06-04T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,278710,RS2_268038_20190604_UTM14_GS2,2019-06-04T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,277475,S2A_T14TQQ_20190602_173126_UTM14_GS2,2019-06-02T17:19:01.000000
29cQ6sj8FngrwD516axwtX,73977,280928,RS2_267037_20190530_UTM14_GS2,2019-05-30T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,277599,RS2_267038_20190530_UTM14_GS2,2019-05-30T00:00:00.000000
29cQ6sj8FngrwD516axwtX,73977,274593,DE009F03S_20190526_UTM14_GS2,2019-05-26T15:34:09.000000
29cQ6sj8FngrwD516axwtX,73977,273468,DE009EF0P_20190523_UTM14_GS2,2019-05-23T15:46:38.000000
29cQ6sj8FngrwD516axwtX,73977,272246,S2A_T14TQQ_20190520_172131_UTM14_GS2,2019-05-20T17:08:51.000000
29cQ6sj8FngrwD516axwtX,73977,271288,DE009EB2_021000_034000_P_20190516_UTM14_GS2,2019-05-16T15:42:03.000000
29cQ6sj8FngrwD516axwtX,73977,270239,S2B_T14TQQ_20190515_172136_UTM14_GS2,2019-05-15T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,265252,S2B_T14TQQ_20190505_172136_UTM14_GS2,2019-05-05T17:08:59.000000
29cQ6sj8FngrwD516axwtX,73977,264457,L8_028029_20190503_UTM15_GS2,2019-05-03T17:04:38.000000
29cQ6sj8FngrwD516axwtX,73977,260686,S2A_T14TQQ_20190420_172131_UTM14_GS2,2019-04-20T17:08:51.000000
29cQ6sj8FngrwD516axwtX,73977,225736,S2B_T14TQQ_20181027_171414_UTM14_GS2,2018-10-27T17:14:19.000000
29cQ6sj8FngrwD516axwtX,73977,215617,L8_029029_20180928_UTM14_GS2,2018-09-28T17:11:05.000000
29cQ6sj8FngrwD516axwtX,73977,209892,L8_029029_20180912_UTM14_GS2,2018-09-12T17:10:59.000000
29cQ6sj8FngrwD516axwtX,73977,209953,S2A_T14TQQ_20180912_171527_UTM14_GS2,2018-09-12T17:09:11.000000
29cQ6sj8FngrwD516axwtX,73977,201222,S2B_T14TQQ_20180821_172807_UTM14_GS2,2018-08-21T17:18:49.000000
29cQ6sj8FngrwD516axwtX,73977,199813,S2B_T14TQQ_20180818_172003_UTM14_GS2,2018-08-18T17:08:39.000000
29cQ6sj8FngrwD516axwtX,73977,196252,L8_029029_20180811_UTM14_GS2,2018-08-11T17:10:47.000000
29cQ6sj8FngrwD516axwtX,73977,197531,DE00971C_000000_014650_S_20180811_UTM15_GS2,2018-08-11T15:45:22.000000
29cQ6sj8FngrwD516axwtX,73977,192725,S2A_T14TQQ_20180803_171401_UTM14_GS2,2018-08-03T17:08:51.000000
29cQ6sj8FngrwD516axwtX,73977,190891,DE0096A2_014150_028800_P_20180729_UTM15_GS2,2018-07-29T16:05:51.000000
29cQ6sj8FngrwD516axwtX,73977,189036,L8_029029_20180726_UTM14_GS2,2018-07-26T17:10:37.000000
29cQ6sj8FngrwD516axwtX,73977,184266,S2A_T14TQQ_20180714_171246_UTM14_GS2,2018-07-14T17:08:51.000000
29cQ6sj8FngrwD516axwtX,73977,183438,UK02_SL6_22P_1T_20180711T144818_20180711T144908_DMC_0_20180711_UTM14_GS2,2018-07-11T14:48:43.000000
29cQ6sj8FngrwD516axwtX,73977,181268,UK02_SL6_22P_1T_20180704T143921_20180704T144011_DMC_0_20180704_UTM15_GS2,2018-07-04T14:39:46.000000
29cQ6sj8FngrwD516axwtX,73977,178340,DE00955F_014250_029000_S_20180701_UTM14_GS2,2018-07-01T15:50:26.000000
29cQ6sj8FngrwD516axwtX,73977,178360,UK02_SL6_22P_1T_20180701T144943_20180701T145033_DMC_0_20180701_UTM14_GS2,2018-07-01T14:50:08.000000
29cQ6sj8FngrwD516axwtX,73977,177914,DE009535_017750_036000_P_20180628_UTM14_GS2,2018-06-28T16:02:13.000000
29cQ6sj8FngrwD516axwtX,73977,178037,UK02_SL6_22P_1T_20180624T144126_20180624T144216_DMC_0_20180624_UTM15_GS2,2018-06-24T14:41:51.000000
29cQ6sj8FngrwD516axwtX,73977,176674,UK02_SL6_22P_1T_20180624T144038_20180624T144128_DMC_0_20180624_UTM15_GS2,2018-06-24T14:41:03.000000
29cQ6sj8FngrwD516axwtX,73977,171013,S2A_T14TQQ_20180614_171932_UTM14_GS2,2018-06-14T17:08:51.000000
